Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Hash,MalwareFamily,Arch
7.2,17,57.6,3.205291695174552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,0.0,0.0,0.9,0.9,3120,42,342,312.0,94.86832980505136,312.0,0.3119840860366821,10,9000.0,5a5fadaafa8642fd060a5c77b7ca56af6bc5e126b59f48acc02805d260712757,Benign,arm
7.2,17,57.6,3.317063186739099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,0.0,0.0,0.9,0.9,3120,42,342,312.0,94.86832980505136,312.0,0.4018187046051025,10,9000.0,5a5fadaafa8642fd060a5c77b7ca56af6bc5e126b59f48acc02805d260712757,Benign,arm
8.0,17,64.0,1.9924855391377687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3420,342,342,342.0,0.0,342.0,0.5019574880599975,10,0.0,5a5fadaafa8642fd060a5c77b7ca56af6bc5e126b59f48acc02805d260712757,Benign,arm
8.0,17,64.0,1.661655649718902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3420,342,342,342.0,0.0,342.0,0.6019909143447876,10,0.0,5a5fadaafa8642fd060a5c77b7ca56af6bc5e126b59f48acc02805d260712757,Benign,arm
8.0,17,64.0,1.6609101991462811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3420,342,342,342.0,0.0,342.0,0.6022613048553467,10,0.0,5a5fadaafa8642fd060a5c77b7ca56af6bc5e126b59f48acc02805d260712757,Benign,arm
7.2,17,57.6,1.264710656290519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,0.0,0.0,0.9,0.9,3120,42,342,312.0,94.86832980505136,312.0,0.7906951904296875,10,9000.0,5a5fadaafa8642fd060a5c77b7ca56af6bc5e126b59f48acc02805d260712757,Benign,arm
6.4,17,51.2,1.2279104843776256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2,0.0,0.0,0.8,0.8,2820,42,342,282.0,126.49110640673516,282.0,0.8262813091278076,10,16000.0,5a5fadaafa8642fd060a5c77b7ca56af6bc5e126b59f48acc02805d260712757,Benign,arm
8.0,17,64.0,1.330869995578367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3420,342,342,342.0,0.0,342.0,0.7731001853942872,10,0.0,5a5fadaafa8642fd060a5c77b7ca56af6bc5e126b59f48acc02805d260712757,Benign,arm
5.6,17,44.8,2.665695713631732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.3,0.0,0.0,0.7,0.7,2520,42,342,252.0,144.9137674618944,252.0,0.388639497756958,10,21000.0,5a5fadaafa8642fd060a5c77b7ca56af6bc5e126b59f48acc02805d260712757,Benign,arm
8.0,17,64.0,2.4864927544204964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3420,342,342,342.0,0.0,342.0,0.5025761127471924,10,0.0,5a5fadaafa8642fd060a5c77b7ca56af6bc5e126b59f48acc02805d260712757,Benign,arm
